repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
Snailclimb/JavaGuide,151536,0,7.325013,0.0,0.0,0.0,0.0,,,,,,,,,
krahets/hello-algo,116020,9,2.829726,425.0,20805.0,7900.0,215.0,1.874419,2.0,1.512579,1.0,1.0,0.0,4.706977,1.0,10.457868
GrowingGit/GitHub-Chinese-Top-Charts,101816,0,5.995606,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
iluwatar/java-design-patterns,92609,0,11.067278,1877.0,50241.0,59320.0,1990.0,3.360302,3.0,2.606279,1.19598,1.0,0.529458,1.827638,0.0,6.352471
macrozheng/mall,81450,3,7.41676,526.0,65725.0,3094.0,760.0,3.864474,3.0,4.784285,1.239474,1.0,0.439211,1110.803947,13.0,8155.555246
spring-projects/spring-boot,78279,320,12.871717,8128.0,479712.0,218464.0,13946.0,5.484153,4.0,6.400458,1.285602,1.0,0.764366,12.937617,0.0,108.319885
doocs/advanced-java,78191,1,6.909066,1.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MisterBooo/LeetCodeAnimation,76434,0,6.74247,11.0,265.0,16.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
elastic/elasticsearch,73699,206,15.565956,28036.0,4256867.0,592237.0,0.0,,,,,,,,,
Stirling-Tools/Stirling-PDF,64919,135,2.598921,888.0,121838.0,12353.0,1277.0,7.710258,5.0,8.237406,1.202036,1.0,1.398015,33.703994,0.0,327.821631
kdn251/interviews,64431,0,8.548277,,,,,,,,,,,,,
TheAlgorithms/Java,63235,0,9.132348,,,,,,,,,,,,,
NationalSecurityAgency/ghidra,59884,46,6.510273,,,,,,,,,,,,,
spring-projects/spring-framework,58768,341,14.737444,,,,,,,,,,,,,
google/guava,51069,56,11.264446,,,,,,,,,,,,,
ReactiveX/RxJava,48277,241,12.649364,,,,,,,,,,,,,
skylot/jadx,45339,31,12.460801,,,,,,,,,,,,,
dbeaver/dbeaver,45122,231,9.869048,,,,,,,,,,,,,
termux/termux-app,44674,95,9.863427,,,,,,,,,,,,,
jeecgboot/JeecgBoot,43746,61,6.769547,,,,,,,,,,,,,
apache/dubbo,41280,111,13.206546,,,,,,,,,,,,,
PhilJay/MPAndroidChart,38109,44,11.357748,,,,,,,,,,,,,
eugenp/tutorials,37244,0,12.345662,,,,,,,,,,,,,
halo-dev/halo,36795,226,7.45375,,,,,,,,,,,,,
alibaba/arthas,36674,59,7.012463,,,,,,,,,,,,,
geekxh/hello-algorithm,35755,0,5.264286,,,,,,,,,,,,,
airbnb/lottie-android,35459,59,8.906435,,,,,,,,,,,,,
TeamNewPipe/NewPipe,34961,137,9.998729,,,,,,,,,,,,,
bumptech/glide,34942,53,12.153507,,,,,,,,,,,,,
doocs/leetcode,34868,21,6.963549,,,,,,,,,,,,,
netty/netty,34400,0,14.816238,,,,,,,,,,,,,
xkcoding/spring-boot-demo,33878,0,7.813148,,,,,,,,,,,,,
Blankj/AndroidUtilCode,33631,117,9.093111,,,,,,,,,,,,,
alibaba/easyexcel,33610,14,7.572585,,,,,,,,,,,,,
zxing/zxing,33563,31,13.893041,,,,,,,,,,,,,
SeleniumHQ/selenium,33088,108,12.632767,,,,,,,,,,,,,
YunaiV/ruoyi-vue-pro,33048,46,4.607485,,,,,,,,,,,,,
alibaba/nacos,32009,84,7.218993,,,,,,,,,,,,,
binarywang/WxJava,31840,30,9.658238,,,,,,,,,,,,,
apache/kafka,30810,0,14.051382,,,,,,,,,,,,,
ityouknow/spring-boot-examples,30591,0,8.826258,,,,,,,,,,,,,
chinabugotech/hutool,30034,153,11.391412,,,,,,,,,,,,,
apolloconfig/apollo,29631,41,9.499214,,,,,,,,,,,,,
alibaba/canal,29355,32,12.636724,,,,,,,,,,,,,
keycloak/keycloak,29340,87,12.170987,,,,,,,,,,,,,
xuxueli/xxl-job,29243,39,9.764491,,,,,,,,,,,,,
wuyouzhuguli/SpringAll,28941,0,7.339916,,,,,,,,,,,,,
alibaba/spring-cloud-alibaba,28732,48,7.754015,,,,,,,,,,,,,
alibaba/druid,28186,51,13.833824,,,,,,,,,,,,,
lenve/vhr,27932,0,7.662281,,,,,,,,,,,,,
DrKLO/Telegram,27462,95,11.856078,,,,,,,,,,,,,
conductor-oss/conductor,27283,25,1.737898,,,,,,,,,,,,,
crossoverJie/JCSprout,27074,0,7.711545,,,,,,,,,,,,,
qiurunze123/miaosha,26495,0,6.970102,,,,,,,,,,,,,
apache/incubator-seata,25777,44,6.682169,,,,,,,,,,,,,
alibaba/fastjson,25755,84,13.833623,,,,,,,,,,,,,
ashishps1/awesome-system-design-resources,25717,0,1.85885,,,,,,,,,,,,,
JakeWharton/butterknife,25489,0,12.497399,,,,,,,,,,,,,
hollischuang/toBeTopJavaer,25461,0,6.857244,,,,,,,,,,,,,
apache/flink,25211,0,11.240876,,,,,,,,,,,,,
scwang90/SmartRefreshLayout,25148,14,8.253552,,,,,,,,,,,,,
proxyee-down-org/proxyee-down,24868,49,7.856536,,,,,,,,,,,,,
greenrobot/EventBus,24758,7,13.131598,,,,,,,,,,,,,
OpenAPITools/openapi-generator,24725,73,7.311722,,,,,,,,,,,,,
Anuken/Mindustry,24712,168,8.344868,,,,,,,,,,,,,
bazelbuild/bazel,24511,208,11.226159,,,,,,,,,,,,,
apache/skywalking,24502,62,9.823068,,,,,,,,,,,,,
Netflix/Hystrix,24394,79,12.786251,,,,,,,,,,,,,
jenkinsci/jenkins,24374,441,14.779279,,,,,,,,,,,,,
libgdx/libgdx,24322,14,13.06285,,,,,,,,,,,,,
yuliskov/SmartTube,24287,909,5.099204,,,,,,,,,,,,,
CodePhiliaX/Chat2DB,24173,43,2.20516,,,,,,,,,,,,,
redisson/redisson,24008,173,11.642529,,,,,,,,,,,,,
google/gson,23999,11,10.459293,,,,,,,,,,,,,
doocs/source-code-hunter,22936,0,5.850666,,,,,,,,,,,,,
alibaba/Sentinel,22889,25,7.416141,,,,,,,,,,,,,
iBotPeaches/Apktool,22814,26,13.457305,,,,,,,,,,,,,
