process,x,y,spearman_r,spearman_p,pearson_r,pearson_p,n
popularity,stars,cbo_mean,-0.3113828280974473,0.45279875742633713,-0.5060785341058263,0.20067232389887862,8
popularity,stars,cbo_median,-0.30122668294492494,0.4684356368969022,-0.3981373426095881,0.3286286630785042,8
popularity,stars,cbo_std,-0.2439750182371333,0.5603755849633288,-0.5118037074340938,0.19477845227219256,8
popularity,stars,dit_mean,-0.22830583024432846,0.5865691033275255,-0.44667536461049445,0.26721596903265477,8
popularity,stars,dit_std,-0.38050971707388076,0.35241936229409265,-0.5973707254991777,0.11786923942209061,8
popularity,stars,lcom_mean,-0.07319250547113999,0.863253392920131,-0.13345726471253266,0.752722985354179,8
popularity,stars,lcom_median,0.4520227726316985,0.2608297757021363,-0.06157851970409389,0.8848318190952505,8
popularity,stars,lcom_std,-0.07319250547113999,0.863253392920131,-0.14143305884353888,0.7383282043605529,8
maturity,age_years,cbo_mean,0.1197626261913259,0.7775830437712571,0.06169179479509477,0.8846210389345847,8
maturity,age_years,cbo_median,0.132539740495767,0.7543830198574714,0.11729196445845484,0.7820862831762747,8
maturity,age_years,cbo_std,0.12198750911856665,0.7735324033272464,0.07952083229153073,0.8515258157332394,8
maturity,age_years,dit_mean,0.507346289431841,0.19935922397700803,0.5186479705178932,0.18785439981394986,8
maturity,age_years,dit_std,0.22830583024432846,0.5865691033275255,0.039884839520031586,0.925295199074039,8
maturity,age_years,lcom_mean,0.07319250547113999,0.863253392920131,0.03239951804882222,0.9392934036529814,8
maturity,age_years,lcom_median,-0.06234796863885497,0.8834001596750213,0.004326733873774871,0.9918874752350618,8
maturity,age_years,lcom_std,0.07319250547113999,0.863253392920131,0.029526884480314954,0.9446692614676973,8
activity,releases,cbo_mean,0.7117770058270331,0.047664948256243726,0.6606499551175383,0.07451991561123615,8
activity,releases,cbo_median,0.6790640976965929,0.0640258585745085,0.6272671403784464,0.09596681694723733,8
activity,releases,cbo_std,0.75,0.03210449218749999,0.7009448027431389,0.052764176053837576,8
activity,releases,dit_mean,0.6238502938920436,0.09834037527020904,0.6405564699258816,0.08705142671713112,8
activity,releases,dit_std,0.57186276940104,0.13859097559843683,0.6158478231908688,0.10403006346791753,8
activity,releases,lcom_mean,0.725,0.041858585205078146,-0.17763400614270405,0.6738762096313475,8
activity,releases,lcom_median,0.23957871187497748,0.567683089805814,-0.20921539369736436,0.619017802731493,8
activity,releases,lcom_std,0.725,0.041858585205078146,-0.17291009553291442,0.6821976714332527,8
size,code,cbo_mean,0.9759036144578312,3.4348972824244416e-05,0.6056963620776229,0.1115119001526752,8
size,code,cbo_median,0.9697147791310179,6.787582069282194e-05,0.6039099395734264,0.11285917435052407,8
size,code,cbo_std,0.9572173526639411,0.00018954069743337763,0.6552846921189117,0.07775496827175656,8
size,code,dit_mean,0.9187081950430209,0.001262462569633421,0.7114874580919086,0.047797210474266855,8
size,code,dit_std,0.8931885229584927,0.0028076146988396016,0.5291072947050599,0.17753059947154848,8
size,code,lcom_mean,0.859041213929178,0.006282542084472271,-0.054081832332226,0.8987941170748455,8
size,code,lcom_median,0.15680608569955762,0.7107725029567616,-0.08064125166062763,0.8494518880228997,8
size,code,lcom_std,0.859041213929178,0.006282542084472271,-0.05118130781752738,0.9042025046168576,8
size,comment,cbo_mean,0.8263621207201486,0.011442764999941228,0.44294555117641393,0.27171575701687023,8
size,comment,cbo_median,0.8675328468813838,0.005249136439108471,0.47478578303714897,0.23451301785239242,8
size,comment,cbo_std,0.80511756018254,0.0159045622916614,0.4693737181801194,0.24064163397862928,8
size,comment,dit_mean,0.7229684624403735,0.042721089466964596,0.6350640639745895,0.09067523086549532,8
size,comment,dit_std,0.7990704058551497,0.017346825576774885,0.3703151173696906,0.36652582547478946,8
size,comment,lcom_mean,0.6099375455928333,0.10835006276860826,-0.1788543296204537,0.6717311848086834,8
size,comment,lcom_median,-0.015586992159713743,0.9707791230144585,-0.19817686423106395,0.6380327650921284,8
size,comment,lcom_std,0.6099375455928333,0.10835006276860826,-0.17836824811218752,0.6725853640403362,8
size,files,cbo_mean,0.8795180722891566,0.003986694076870437,0.4928380051273107,0.21465693163236896,8
size,files,cbo_median,0.9091076054353294,0.001751607645242772,0.5185061561041313,0.18799651774388465,8
size,files,cbo_std,0.859041213929178,0.006282542084472271,0.5265661536118508,0.18001012283104043,8
size,files,dit_mean,0.842149178789436,0.008705530689770685,0.6670396866220945,0.07077197952497438,8
size,files,dit_std,0.8676688508739642,0.005233544810403644,0.4140084404783914,0.3078758488609888,8
size,files,lcom_mean,0.6872329711433424,0.05966947049080758,-0.13277251690996292,0.7539617901148407,8
size,files,lcom_median,0.015680608569955765,0.9706036780399814,-0.1532059159994262,0.717202326600691,8
size,files,lcom_std,0.6872329711433424,0.05966947049080758,-0.1317229297816566,0.7558615299332427,8
